w11,w01,fitness
0.5,-10.0,0.0000
1.0,-10.0,0.0000
2.0,-10.0,0.0000
3.5,-10.0,0.0000
2.5,-10.0,0.0000
3.0,-10.0,0.0000
4.0,-10.0,0.0000
4.5,-10.0,0.0000
5.0,-10.0,0.0000
6.5,-10.0,0.0000
5.5,-10.0,0.0000
6.0,-10.0,0.0000
7.0,-10.0,0.0000
8.0,-10.0,0.0000
8.5,-10.0,0.0000
7.5,-10.0,0.0000
9.0,-10.0,0.0000
9.5,-10.0,0.0000
10.0,-10.0,0.0000
11.0,-10.0,0.0000
10.5,-10.0,0.0000
11.5,-10.0,0.0000
12.0,-10.0,0.0000
13.5,-10.0,0.0000
12.5,-10.0,0.0000
13.0,-10.0,0.0000
14.0,-10.0,0.0000
14.5,-10.0,0.0000
16.0,-10.0,0.0000
-16.0,-9.5,0.0000
15.5,-10.0,0.0000
15.0,-10.0,0.0000
-15.5,-9.5,0.0000
-15.0,-9.5,0.0000
-14.0,-9.5,0.0000
-13.5,-9.5,0.0000
-13.0,-9.5,0.0000
-12.0,-9.5,0.0000
-11.5,-9.5,0.0000
-12.5,-9.5,0.0000
-11.0,-9.5,0.0000
-10.5,-9.5,0.0000
-9.0,-9.5,0.0000
-9.5,-9.5,0.0000
-10.0,-9.5,0.0000
-8.5,-9.5,0.0000
-8.0,-9.5,0.0000
-7.5,-9.5,0.0000
-7.0,-9.5,0.0000
-6.5,-9.5,0.0000
-6.0,-9.5,0.0000
-5.5,-9.5,0.0000
-5.0,-9.5,0.0000
-4.0,-9.5,0.0000
-4.5,-9.5,0.0000
-3.5,-9.5,0.0000
-3.0,-9.5,0.0000
-2.5,-9.5,0.0000
-1.5,-9.5,0.0000
-1.0,-9.5,0.0000
-2.0,-9.5,0.0000
-0.5,-9.5,0.0000
0.0,-9.5,0.0000
0.5,-9.5,0.0000
1.0,-9.5,0.0000
1.5,-9.5,0.0000
2.0,-9.5,0.0000
3.0,-9.5,0.0000
2.5,-9.5,0.0000
3.5,-9.5,0.0000
4.0,-9.5,0.0000
4.5,-9.5,0.0000
5.0,-9.5,0.0000
5.5,-9.5,0.0000
6.0,-9.5,0.0000
6.5,-9.5,0.0000
7.0,-9.5,0.0000
7.5,-9.5,0.0000
8.0,-9.5,0.0000
9.0,-9.5,0.0000
8.5,-9.5,0.0000
9.5,-9.5,0.0000
10.0,-9.5,0.0000
10.5,-9.5,0.0000
11.0,-9.5,0.0000
11.5,-9.5,0.0000
12.0,-9.5,0.0000
12.5,-9.5,0.0000
13.0,-9.5,0.0000
14.0,-9.5,0.0000
14.5,-9.5,0.0000
13.5,-9.5,0.0000
15.5,-9.5,0.0000
-16.0,-9.0,0.0000
15.0,-9.5,0.0000
16.0,-9.5,0.0000
-15.5,-9.0,0.0000
-15.0,-9.0,0.0000
-14.5,-9.0,0.0000
-14.0,-9.0,0.0000
-13.5,-9.0,0.0000
-13.0,-9.0,0.0000
-12.5,-9.0,0.0000
-12.0,-9.0,0.0000
-11.0,-9.0,0.0000
-11.5,-9.0,0.0000
-10.5,-9.0,0.0000
-10.0,-9.0,0.0000
-9.5,-9.0,0.0000
-9.0,-9.0,0.0000
-8.5,-9.0,0.0000
-8.0,-9.0,0.0000
-7.5,-9.0,0.0000
-6.5,-9.0,0.0000
-7.0,-9.0,0.0000
-6.0,-9.0,0.0000
-5.5,-9.0,0.0000
-5.0,-9.0,0.0000
-4.5,-9.0,0.0000
-4.0,-9.0,0.0000
-3.0,-9.0,0.0000
-3.5,-9.0,0.0000
-2.5,-9.0,0.0000
-1.5,-9.0,0.0000
-1.0,-9.0,0.0000
-2.0,-9.0,0.0000
-0.5,-9.0,0.0000
0.0,-9.0,0.0000
1.0,-9.0,0.0000
1.5,-9.0,0.0000
0.5,-9.0,0.0000
2.0,-9.0,0.0000
2.5,-9.0,0.0000
3.0,-9.0,0.0000
3.5,-9.0,0.0000
4.0,-9.0,0.0000
4.5,-9.0,0.0000
5.0,-9.0,0.0000
6.0,-9.0,0.0000
6.5,-9.0,0.0000
5.5,-9.0,0.0000
7.0,-9.0,0.0000
7.5,-9.0,0.0000
8.0,-9.0,0.0000
8.5,-9.0,0.0000
9.0,-9.0,0.0000
9.5,-9.0,0.0000
10.0,-9.0,0.0000
12.0,-9.0,0.0000
