seed,nnsize,wbrange,rl_nn_b_fit,time_passed,max_flux_amp,init_flux_amp,flux_period_min,flux_period_max,flux_conv_rate,learn_rate,performance_bias,performance_update_rate,
1,3,16,0.7449223208881368,1332.5,10,1,4,8,0.09,1.0,0.005,0.001,
2,3,16,0.6110786672679264,1153.41,10,1,4,8,0.09,1.0,0.005,0.001,
3,3,16,0.7063789822263299,2745.76,10,1,4,8,0.09,1.0,0.005,0.001,
4,3,16,0.7789617453383932,2153.27,10,1,4,8,0.09,1.0,0.005,0.001,
5,3,16,0.7900556600388364,3521.96,10,1,4,8,0.09,1.0,0.005,0.001,
6,3,16,0.6992090443627743,5179.51,10,1,4,8,0.09,1.0,0.005,0.001,
7,3,16,0.5407477321546195,7878.49,10,1,4,8,0.09,1.0,0.005,0.001,
8,3,16,0.8821704623399451,929.89,10,1,4,8,0.09,1.0,0.005,0.001,
9,3,16,0.6337259304894812,731.85,10,1,4,8,0.09,1.0,0.005,0.001,
1,3,16,0.7519020965545977,2250.34,12,1,4,8,0.09,1.0,0.005,0.001,
2,3,16,0.7308363534588881,1840.4,12,1,4,8,0.09,1.0,0.005,0.001,
3,3,16,0.8499169408156385,2514.31,12,1,4,8,0.09,1.0,0.005,0.001,
4,3,16,0.6310378235585896,1484.82,12,1,4,8,0.09,1.0,0.005,0.001,
5,3,16,0.5959153383712043,1518.21,12,1,4,8,0.09,1.0,0.005,0.001,
6,3,16,0.7863953479552183,2407.59,12,1,4,8,0.09,1.0,0.005,0.001,
7,3,16,0.6308511140643154,1185.41,12,1,4,8,0.09,1.0,0.005,0.001,
8,3,16,0.6973031169870957,531.73,12,1,4,8,0.09,1.0,0.005,0.001,
9,3,16,0.709877919877076,4424.59,12,1,4,8,0.09,1.0,0.005,0.001,
1,3,16,0.6871396171690942,5790.35,14,1,4,8,0.09,1.0,0.005,0.001,
2,3,16,0.7518275963902176,1677.56,14,1,4,8,0.09,1.0,0.005,0.001,
3,3,16,0.6872563094149995,1364.82,14,1,4,8,0.09,1.0,0.005,0.001,
4,3,16,0.7328279981141292,2009.06,14,1,4,8,0.09,1.0,0.005,0.001,
5,3,16,0.5866367613512629,1161.17,14,1,4,8,0.09,1.0,0.005,0.001,
6,3,16,0.7594264498959504,1436.64,14,1,4,8,0.09,1.0,0.005,0.001,
7,3,16,0.6245710483175733,1905.89,14,1,4,8,0.09,1.0,0.005,0.001,
8,3,16,0.6406541892362785,1030.88,14,1,4,8,0.09,1.0,0.005,0.001,
9,3,16,0.7494729767298971,753.13,14,1,4,8,0.09,1.0,0.005,0.001,
1,3,16,0.595507942849308,588.67,16,1,4,8,0.09,1.0,0.005,0.001,
2,3,16,0.6624509860846192,1837.79,16,1,4,8,0.09,1.0,0.005,0.001,
3,3,16,0.6599609541409778,1322.26,16,1,4,8,0.09,1.0,0.005,0.001,
4,3,16,0.7670349184056895,948.49,16,1,4,8,0.09,1.0,0.005,0.001,
5,3,16,0.8999614742004164,536.62,16,1,4,8,0.09,1.0,0.005,0.001,
6,3,16,0.5378938125095979,961.57,16,1,4,8,0.09,1.0,0.005,0.001,
7,3,16,0.9225824945167902,999.88,16,1,4,8,0.09,1.0,0.005,0.001,
8,3,16,0.9020369092582248,535.07,16,1,4,8,0.09,1.0,0.005,0.001,
9,3,16,0.7168886528890962,486.81,16,1,4,8,0.09,1.0,0.005,0.001,
1,3,16,0.016701703192156418,9999.99,2,1,4,8,0.08,1.0,0.005,0.001,
2,3,16,0.47033597751646095,9999.99,2,1,4,8,0.08,1.0,0.005,0.001,
3,3,16,0.9272513823536197,9999.99,2,1,4,8,0.08,1.0,0.005,0.001,
4,3,16,0.019984826340277716,9999.99,2,1,4,8,0.08,1.0,0.005,0.001,
5,3,16,0.00042949749197695574,9999.99,2,1,4,8,0.08,1.0,0.005,0.001,
6,3,16,0.017305513512913248,9999.99,2,1,4,8,0.08,1.0,0.005,0.001,
7,3,16,0.012641507825598832,9999.99,2,1,4,8,0.08,1.0,0.005,0.001,
8,3,16,0.8055858645981535,9999.99,2,1,4,8,0.08,1.0,0.005,0.001,
9,3,16,0.5273178121641694,9999.99,2,1,4,8,0.08,1.0,0.005,0.001,
1,3,16,0.7450527728112303,8214.48,4,1,4,8,0.08,1.0,0.005,0.001,
2,3,16,0.4555528476525869,9999.99,4,1,4,8,0.08,1.0,0.005,0.001,
3,3,16,0.7841554927836282,3871.64,4,1,4,8,0.08,1.0,0.005,0.001,
4,3,16,0.4431363431940011,9999.99,4,1,4,8,0.08,1.0,0.005,0.001,
5,3,16,0.7369794528555021,9999.99,4,1,4,8,0.08,1.0,0.005,0.001,
6,3,16,0.03290186602437824,9999.99,4,1,4,8,0.08,1.0,0.005,0.001,
7,3,16,0.01459971905456051,9999.99,4,1,4,8,0.08,1.0,0.005,0.001,
8,3,16,0.45144647715486885,9999.99,4,1,4,8,0.08,1.0,0.005,0.001,
9,3,16,0.7451283825850556,7035.42,4,1,4,8,0.08,1.0,0.005,0.001,
1,3,16,0.01722478973184904,9999.99,6,1,4,8,0.08,1.0,0.005,0.001,
2,3,16,0.5568999150924079,9999.99,6,1,4,8,0.08,1.0,0.005,0.001,
3,3,16,0.6606511608963552,3768.03,6,1,4,8,0.08,1.0,0.005,0.001,
4,3,16,0.42148094125789964,9999.99,6,1,4,8,0.08,1.0,0.005,0.001,
5,3,16,0.7331138253644844,1313.98,6,1,4,8,0.08,1.0,0.005,0.001,
6,3,16,0.6676543490286744,6582.06,6,1,4,8,0.08,1.0,0.005,0.001,
7,3,16,0.5811905329226807,9999.99,6,1,4,8,0.08,1.0,0.005,0.001,
8,3,16,0.4847387790429578,9999.99,6,1,4,8,0.08,1.0,0.005,0.001,
