seed,nnsize,wbrange,rl_nn_b_fit,time_passed,max_flux_amp,init_flux_amp,flux_period_min,flux_period_max,flux_conv_rate,learn_rate,performance_bias,performance_update_rate,
5,3,16,0.6754409326240423,9999.99,8,1,4,8,0.05,1.0,0.005,0.001,
6,3,16,0.6908498574774822,9823.36,8,1,4,8,0.05,1.0,0.005,0.001,
7,3,16,0.11118968929537984,9999.99,8,1,4,8,0.05,1.0,0.005,0.001,
8,3,16,0.7303326089038396,6466.1900000000005,8,1,4,8,0.05,1.0,0.005,0.001,
9,3,16,0.7044865491571513,8835.45,8,1,4,8,0.05,1.0,0.005,0.001,
0,3,16,0.7749840859044763,2174.79,16,1,4,8,0.05,1.0,0.005,0.001,
1,3,16,0.7422271595651462,2533.02,16,1,4,8,0.05,1.0,0.005,0.001,
2,3,16,0.7205105383364334,1051.56,16,1,4,8,0.05,1.0,0.005,0.001,
3,3,16,0.6881445761204987,1421.75,16,1,4,8,0.05,1.0,0.005,0.001,
4,3,16,0.6034129656336643,1890.23,16,1,4,8,0.05,1.0,0.005,0.001,
5,3,16,0.6409056611400656,1488.14,16,1,4,8,0.05,1.0,0.005,0.001,
6,3,16,0.5750511046938811,9717.73,16,1,4,8,0.05,1.0,0.005,0.001,
7,3,16,0.5905076470484474,7563.7,16,1,4,8,0.05,1.0,0.005,0.001,
8,3,16,0.7209246473478094,1022.66,16,1,4,8,0.05,1.0,0.005,0.001,
9,3,16,0.7048939836998211,3964.62,16,1,4,8,0.05,1.0,0.005,0.001,
0,3,16,0.636846817101964,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
1,3,16,0.7812564719912222,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
2,3,16,0.46545019014378697,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
3,3,16,0.46745536119410225,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
4,3,16,0.05090982888203373,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
5,3,16,0.006699904909133832,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
6,3,16,0.005514431785470763,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
7,3,16,0.04084671853142645,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
8,3,16,0.7774622761247847,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
9,3,16,0.5091246623401592,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
0,3,16,0.6681221503654662,2736.98,16,1,8,16,0.025,1.0,0.005,0.001,
1,3,16,0.655418109240864,6319.27,16,1,8,16,0.025,1.0,0.005,0.001,
2,3,16,0.4655883686832591,9999.99,16,1,8,16,0.025,1.0,0.005,0.001,
3,3,16,0.6710157923638577,9999.99,16,1,8,16,0.025,1.0,0.005,0.001,
4,3,16,0.6898931667437158,9955.460000000001,16,1,8,16,0.025,1.0,0.005,0.001,
5,3,16,0.7116562098378005,5026.58,16,1,8,16,0.025,1.0,0.005,0.001,
6,3,16,0.012113445290310798,9999.99,16,1,8,16,0.025,1.0,0.005,0.001,
7,3,16,0.46332058659391934,9999.99,16,1,8,16,0.025,1.0,0.005,0.001,
8,3,16,0.6495067735778117,5940.34,16,1,8,16,0.025,1.0,0.005,0.001,
9,3,16,0.49859145585050085,9999.99,16,1,8,16,0.025,1.0,0.005,0.001,
0,3,16,0.6681221503654662,2736.98,8,1,8,16,0.05,1.0,0.005,0.001,
1,3,16,0.655418109240864,6319.27,8,1,8,16,0.05,1.0,0.005,0.001,
2,3,16,0.4655883686832591,9999.99,8,1,8,16,0.05,1.0,0.005,0.001,
3,3,16,0.6710157923638577,9999.99,8,1,8,16,0.05,1.0,0.005,0.001,
4,3,16,0.6898931667437158,9955.460000000001,8,1,8,16,0.05,1.0,0.005,0.001,
5,3,16,0.7116562098378005,5026.58,8,1,8,16,0.05,1.0,0.005,0.001,
6,3,16,0.012113445290310798,9999.99,8,1,8,16,0.05,1.0,0.005,0.001,
7,3,16,0.46332058659391934,9999.99,8,1,8,16,0.05,1.0,0.005,0.001,
8,3,16,0.6495067735778117,5940.34,8,1,8,16,0.05,1.0,0.005,0.001,
